rank,title,singer,album,dates,like
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.01 ~ 2024.01.07,114100
2,Drama,aespa,Drama - The 4th Mini Album,2024.01.01 ~ 2024.01.07,85678
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.01 ~ 2024.01.07,143633
4,비의 랩소디,임재현,비의 랩소디,2024.01.01 ~ 2024.01.07,68657
5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.01 ~ 2024.01.07,287035
6,헤어지자 말해요,박재정,1집 Alone,2024.01.01 ~ 2024.01.07,169616
7,인사,범진,인사,2024.01.01 ~ 2024.01.07,107608
8,Baddie,IVE (아이브),I'VE MINE,2024.01.01 ~ 2024.01.07,68605
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.01 ~ 2024.01.07,97940
10,Love Lee,AKMU (악뮤),Love Lee,2024.01.01 ~ 2024.01.07,121143
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.01 ~ 2024.01.07,208040
12,I AM,IVE (아이브),I've IVE,2024.01.01 ~ 2024.01.07,213060
13,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.01 ~ 2024.01.07,69340
14,에피소드,이무진,에피소드,2024.01.01 ~ 2024.01.07,68246
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.01 ~ 2024.01.07,125219
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01 ~ 2024.01.07,162108
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.01 ~ 2024.01.07,281544
18,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.01 ~ 2024.01.07,85613
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.01 ~ 2024.01.07,295785
20,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01 ~ 2024.01.07,120521
21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.01 ~ 2024.01.07,79578
22,퀸카 (Queencard),(여자)아이들,I feel,2024.01.01 ~ 2024.01.07,143689
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01 ~ 2024.01.07,287850
24,Get A Guitar,RIIZE,Get A Guitar,2024.01.01 ~ 2024.01.07,90149
25,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.01 ~ 2024.01.07,212145
26,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.01 ~ 2024.01.07,76310
27,Standing Next to You,정국,GOLDEN,2024.01.01 ~ 2024.01.07,69040
28,Either Way,IVE (아이브),I'VE MINE,2024.01.01 ~ 2024.01.07,75854
29,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.01 ~ 2024.01.07,58505
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.01 ~ 2024.01.07,436761
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.01 ~ 2024.01.07,55888
